Date,Open,High,Low,Close,Volume,MarketCap
2021-04-02,"$59,098.88","$60,267.19","$58,869.28","$59,384.31","$58,727,860,620","$1,108,813,863,083"
2021-04-01,"$58,926.56","$59,586.07","$58,505.28","$59,095.81","$61,669,163,792","$1,103,377,830,758"
2021-03-31,"$58,930.28","$59,930.03","$57,726.42","$58,918.83","$65,520,826,225","$1,100,016,786,763"
2021-03-30,"$57,750.13","$59,447.22","$57,251.55","$58,917.69","$54,414,116,432","$1,099,939,890,804"
2021-03-29,"$55,947.90","$58,342.10","$55,139.34","$57,750.20","$57,625,587,027","$1,078,088,296,477"
2021-03-28,"$55,974.94","$56,610.31","$55,071.11","$55,950.75","$47,686,580,918","$1,044,446,559,059"
2021-03-27,"$55,137.57","$56,568.22","$54,242.91","$55,973.51","$47,266,542,233","$1,044,814,147,412"
2021-03-26,"$51,683.01","$55,137.31","$51,579.86","$55,137.31","$56,652,197,978","$1,029,150,697,411"
2021-03-25,"$52,726.75","$53,392.39","$50,856.57","$51,704.16","$67,999,812,841","$965,028,762,666"
2021-03-24,"$54,710.49","$57,262.38","$52,514.33","$52,774.26","$70,567,223,787","$984,948,142,898"
2021-03-23,"$54,511.66","$55,985.44","$53,470.69","$54,738.94","$56,435,023,914","$1,021,563,479,682"
2021-03-22,"$57,517.89","$58,471.48","$54,288.16","$54,529.15","$56,521,454,974","$1,017,595,269,117"
2021-03-21,"$58,309.91","$58,767.90","$56,005.62","$57,523.42","$51,943,414,539","$1,073,417,235,408"
2021-03-20,"$58,332.26","$60,031.29","$58,213.30","$58,313.64","$50,361,731,222","$1,088,105,221,978"
2021-03-19,"$57,850.44","$59,498.38","$56,643.70","$58,346.65","$49,063,873,786","$1,088,666,450,746"
2021-03-18,"$58,893.08","$60,116.25","$54,253.58","$57,858.92","$55,746,041,000","$1,079,511,086,884"
2021-03-17,"$56,825.83","$58,969.82","$54,528.63","$58,870.89","$60,258,313,191","$1,098,337,655,327"
2021-03-16,"$55,840.79","$56,833.18","$53,555.03","$56,804.90","$59,749,798,599","$1,059,745,818,423"
2021-03-15,"$59,267.43","$60,540.99","$55,393.17","$55,907.20","$66,419,369,890","$1,042,946,024,860"
2021-03-14,"$61,221.13","$61,597.92","$59,302.32","$59,302.32","$43,901,225,564","$1,106,226,132,525"
2021-03-13,"$57,343.37","$61,683.86","$56,217.97","$61,243.08","$60,669,829,814","$1,142,369,158,667"
2021-03-12,"$57,821.22","$57,996.62","$55,376.65","$57,332.09","$55,689,944,702","$1,069,366,321,844"
2021-03-11,"$55,963.18","$58,091.06","$54,484.59","$57,805.12","$56,772,343,595","$1,078,135,604,118"
2021-03-10,"$54,824.01","$57,258.25","$53,290.89","$56,008.55","$57,295,577,614","$1,044,580,057,477"
2021-03-09,"$52,272.97","$54,824.12","$51,981.83","$54,824.12","$50,912,227,385","$1,022,439,972,862"
2021-03-08,"$51,174.12","$52,314.07","$49,506.05","$52,246.52","$48,597,428,048","$974,321,883,623"
2021-03-07,"$48,918.68","$51,384.37","$48,918.68","$51,206.69","$43,137,459,378","$954,880,954,585"
2021-03-06,"$48,899.23","$49,147.22","$47,257.53","$48,912.38","$34,363,564,661","$912,054,166,029"
2021-03-05,"$48,527.03","$49,396.43","$46,542.51","$48,927.30","$48,625,928,883","$912,285,065,720"
2021-03-04,"$50,522.31","$51,735.09","$47,656.93","$48,561.17","$52,343,816,680","$905,414,104,807"
2021-03-03,"$48,415.81","$52,535.14","$48,274.32","$50,538.24","$53,220,811,975","$942,236,576,905"
2021-03-02,"$49,612.11","$50,127.51","$47,228.85","$48,378.99","$47,530,897,720","$901,933,683,269"
2021-03-01,"$45,159.50","$49,784.02","$45,115.09","$49,631.24","$53,891,300,112","$925,235,527,882"
2021-02-28,"$46,194.02","$46,716.43","$43,241.62","$45,137.77","$53,443,887,451","$841,428,977,515"
2021-02-27,"$46,344.77","$48,253.27","$45,269.03","$46,188.45","$45,910,946,382","$860,978,135,421"
2021-02-26,"$47,180.46","$48,370.79","$44,454.84","$46,339.76","$350,967,941,479","$863,752,275,053"
2021-02-25,"$49,709.08","$51,948.97","$47,093.85","$47,093.85","$54,506,565,949","$877,766,126,138"
2021-02-24,"$48,835.09","$51,290.14","$47,213.50","$49,705.33","$63,695,521,388","$926,393,090,751"
2021-02-23,"$54,204.93","$54,204.93","$45,290.59","$48,824.43","$106,102,492,824","$909,925,854,460"
2021-02-22,"$57,532.74","$57,533.39","$48,967.57","$54,207.32","$92,052,420,332","$1,010,205,212,981"
2021-02-21,"$56,068.57","$58,330.57","$55,672.61","$57,539.94","$51,897,585,191","$1,072,263,294,725"
2021-02-20,"$55,887.34","$57,505.23","$54,626.56","$56,099.52","$68,145,460,026","$1,045,371,087,640"
2021-02-19,"$51,675.98","$56,113.65","$50,937.28","$55,888.13","$63,495,496,918","$1,041,380,696,669"
2021-02-18,"$52,140.97","$52,474.11","$51,015.76","$51,679.80","$52,054,723,579","$962,915,078,024"
2021-02-17,"$49,207.28","$52,533.91","$49,072.38","$52,149.01","$80,820,545,404","$971,611,626,454"
2021-02-16,"$47,944.46","$50,341.10","$47,201.30","$49,199.87","$77,049,582,886","$916,623,418,254"
2021-02-15,"$48,696.54","$48,875.57","$46,347.48","$47,945.06","$77,069,903,166","$893,210,080,039"
2021-02-14,"$47,114.51","$49,487.64","$47,114.51","$48,717.29","$71,248,675,228","$907,551,330,153"
2021-02-13,"$47,491.20","$48,047.74","$46,392.28","$47,105.52","$70,250,456,155","$877,478,894,464"
2021-02-12,"$47,877.03","$48,745.73","$46,424.98","$47,504.85","$76,555,041,196","$884,874,050,612"
2021-02-11,"$44,898.71","$48,463.47","$44,187.76","$47,909.33","$81,388,911,810","$892,364,856,136"
2021-02-10,"$46,469.76","$47,145.57","$43,881.15","$44,918.18","$87,301,089,896","$836,616,907,527"
2021-02-09,"$46,184.99","$48,003.72","$45,166.96","$46,481.10","$91,809,846,886","$865,682,956,619"
2021-02-08,"$38,886.83","$46,203.93","$38,076.32","$46,196.46","$101,467,222,687","$860,342,706,260"
2021-02-07,"$39,250.19","$39,621.84","$37,446.15","$38,903.44","$65,500,641,143","$724,478,833,211"
2021-02-06,"$38,138.39","$40,846.55","$38,138.39","$39,266.01","$71,326,033,653","$731,192,490,093"
2021-02-05,"$36,931.55","$38,225.91","$36,658.76","$38,144.31","$58,598,066,402","$710,266,752,534"
2021-02-04,"$37,475.10","$38,592.18","$36,317.50","$36,926.06","$68,838,074,392","$687,542,752,523"
2021-02-03,"$35,510.82","$37,480.19","$35,443.98","$37,472.09","$61,166,818,159","$697,672,910,488"
2021-02-02,"$33,533.20","$35,896.88","$33,489.22","$35,510.29","$63,088,585,433","$661,114,581,664"
2021-02-01,"$33,114.58","$34,638.21","$32,384.23","$33,537.18","$61,400,400,660","$624,349,044,409"
2021-01-31,"$34,270.88","$34,288.33","$32,270.18","$33,114.36","$52,754,542,671","$616,452,744,533"
2021-01-30,"$34,295.94","$34,834.71","$32,940.19","$34,269.52","$65,141,828,798","$637,924,573,284"
2021-01-29,"$34,318.67","$38,406.26","$32,064.81","$34,316.39","$117,894,572,511","$638,768,671,362"
2021-01-28,"$30,441.04","$33,858.31","$30,023.21","$33,466.10","$76,517,157,706","$622,910,073,820"
2021-01-27,"$32,564.03","$32,564.03","$29,367.14","$30,432.55","$62,576,762,015","$566,417,413,554"
2021-01-26,"$32,358.61","$32,794.55","$31,030.27","$32,569.85","$60,255,421,470","$606,169,260,387"
2021-01-25,"$32,285.80","$34,802.74","$32,087.79","$32,366.39","$59,897,054,838","$602,350,097,075"
2021-01-24,"$32,064.38","$32,944.01","$31,106.69","$32,289.38","$48,643,830,599","$600,888,568,010"
2021-01-23,"$32,985.76","$33,360.98","$31,493.16","$32,067.64","$48,354,737,975","$596,733,137,645"
2021-01-22,"$30,817.63","$33,811.85","$28,953.37","$33,005.76","$77,207,272,511","$614,160,521,492"
2021-01-21,"$35,549.40","$35,552.68","$30,250.75","$30,825.70","$75,643,067,688","$573,565,664,943"
2021-01-20,"$36,050.11","$36,378.33","$33,570.48","$35,547.75","$66,834,573,161","$661,400,102,161"
2021-01-19,"$36,642.23","$37,755.89","$36,069.81","$36,069.81","$57,244,195,486","$671,081,200,700"
2021-01-18,"$35,792.24","$37,299.29","$34,883.84","$36,630.08","$49,511,702,429","$681,470,030,572"
2021-01-17,"$36,163.65","$36,722.35","$34,069.32","$35,791.28","$52,359,854,336","$665,831,621,391"
2021-01-16,"$36,821.65","$37,864.37","$35,633.55","$36,178.14","$57,706,187,875","$673,000,645,231"
2021-01-15,"$39,156.71","$39,577.71","$34,659.59","$36,825.37","$67,760,757,881","$685,005,864,471"
2021-01-14,"$37,325.11","$39,966.41","$36,868.56","$39,187.33","$63,615,990,033","$728,904,366,964"
2021-01-13,"$33,915.12","$37,599.96","$32,584.67","$37,316.36","$69,364,315,979","$694,069,582,194"
2021-01-12,"$35,516.36","$36,568.53","$32,697.98","$33,922.96","$74,773,277,909","$630,920,422,745"
2021-01-11,"$38,346.53","$38,346.53","$30,549.60","$35,566.66","$123,320,567,399","$661,457,321,418"
2021-01-10,"$40,254.22","$41,420.19","$35,984.63","$38,356.44","$79,980,747,690","$713,304,617,761"
2021-01-09,"$40,788.64","$41,436.35","$38,980.88","$40,254.55","$61,984,162,837","$748,563,483,043"
2021-01-08,"$39,381.77","$41,946.74","$36,838.64","$40,797.61","$88,107,519,480","$758,625,941,267"
2021-01-07,"$36,833.87","$40,180.37","$36,491.19","$39,371.04","$84,762,141,031","$732,062,681,138"
2021-01-06,"$34,013.61","$36,879.70","$33,514.03","$36,824.36","$75,289,433,811","$684,671,246,324"
2021-01-05,"$31,977.04","$34,437.59","$30,221.19","$33,992.43","$67,547,324,782","$631,980,005,970"
2021-01-04,"$32,810.95","$33,440.22","$28,722.76","$31,971.91","$81,163,475,344","$594,384,025,391"
2021-01-03,"$32,129.41","$34,608.56","$32,052.32","$32,782.02","$78,665,235,202","$609,409,213,147"
2021-01-02,"$29,376.46","$33,155.12","$29,091.18","$32,127.27","$67,865,420,765","$597,205,944,669"
2021-01-01,"$28,994.01","$29,600.63","$28,803.59","$29,374.15","$40,730,301,359","$546,001,594,838"
2020-12-31,"$28,841.57","$29,244.88","$28,201.99","$29,001.72","$46,754,964,848","$539,051,138,108"
2020-12-30,"$27,360.09","$28,937.74","$27,360.09","$28,840.95","$51,287,442,704","$536,033,807,161"
2020-12-29,"$27,081.81","$27,370.72","$25,987.30","$27,362.44","$45,265,946,774","$508,523,687,097"
2020-12-28,"$26,280.82","$27,389.11","$26,207.64","$27,084.81","$49,056,742,893","$503,339,329,917"
2020-12-27,"$26,439.37","$28,288.84","$25,922.77","$26,272.29","$66,479,895,605","$488,213,268,382"
2020-12-26,"$24,677.02","$26,718.07","$24,522.69","$26,437.04","$48,332,647,295","$491,250,863,157"
2020-12-25,"$23,733.57","$24,710.10","$23,463.67","$24,664.79","$42,068,395,846","$458,297,232,692"
2020-12-24,"$23,240.20","$23,768.34","$22,777.60","$23,735.95","$41,080,759,713","$441,017,197,764"
2020-12-23,"$23,781.97","$24,024.49","$22,802.65","$23,241.34","$51,146,161,904","$431,808,778,580"
2020-12-22,"$22,794.04","$23,789.90","$22,430.60","$23,783.03","$44,171,632,681","$441,850,902,134"
2020-12-21,"$23,474.46","$24,059.98","$22,159.37","$22,803.08","$45,852,713,981","$423,625,088,584"
2020-12-20,"$23,861.77","$24,209.66","$23,147.71","$23,477.30","$37,844,228,422","$436,129,331,482"
2020-12-19,"$23,132.87","$24,085.86","$22,826.47","$23,869.83","$38,487,546,580","$443,399,267,277"
2020-12-18,"$22,806.80","$23,238.60","$22,399.81","$23,137.96","$40,387,896,275","$429,781,092,528"
2020-12-17,"$21,308.35","$23,642.66","$21,234.68","$22,805.16","$71,378,606,374","$423,576,934,966"
2020-12-16,"$19,418.82","$21,458.91","$19,298.32","$21,310.60","$44,409,011,479","$395,799,863,746"
2020-12-15,"$19,246.92","$19,525.01","$19,079.84","$19,417.08","$26,741,982,541","$360,614,771,027"
2020-12-14,"$19,144.49","$19,305.10","$19,012.71","$19,246.64","$22,473,997,681","$357,432,550,020"
2020-12-13,"$18,806.77","$19,381.54","$18,734.33","$19,142.38","$25,450,468,637","$355,479,173,806"
2020-12-12,"$18,051.32","$18,919.55","$18,046.04","$18,803.66","$21,752,580,802","$349,170,613,899"
2020-12-11,"$18,263.93","$18,268.45","$17,619.53","$18,058.90","$27,919,640,985","$335,326,168,919"
2020-12-10,"$18,553.30","$18,553.30","$17,957.07","$18,264.99","$25,547,132,265","$339,136,939,586"
2020-12-09,"$18,320.88","$18,626.29","$17,935.55","$18,553.92","$34,420,373,071","$344,486,483,494"
2020-12-08,"$19,191.53","$19,283.48","$18,269.95","$18,321.14","$31,692,288,756","$340,148,764,252"
2020-12-07,"$19,343.13","$19,411.83","$18,931.14","$19,191.63","$26,896,357,742","$356,293,229,783"
